区站号,纬度,经度,累年年平均本站气压,累年年本站气压平均差,累年年本站气压标准差,累年年本站气压最大正距平,累年年本站气压最大负距平,累年年平均气温,累年气温年较差,累年年平均最高气温,累年年平均最低气温,累年年极端最高气温,累年年极端最高气温出现年份,累年年极端最高气温出现月份,累年年极端最高气温出现日期,累年年极端最低气温,累年年极端最低气温出现年份,累年年极端最低气温出现月份,累年年极端最低气温出现日期,累年年降温度日数（≥26.0℃）,累年年采暖度日数（≤18.0℃）,累年年平均气温平均差,累年年平均气温标准差,累年年平均气温最大正距平,累年年平均气温最大负距平,累年年平均水汽压,累年年水汽压平均差,累年年水汽压标准差,累年年水汽压最大正距平,累年年水汽压最大负距平,累年年平均相对湿度,累年年相对湿度平均差,累年年相对湿度标准差,累年年平均总云量,累年年平均低云量,累年年日平均总云量<2成（晴天）日数,累年年日平均总云量>8成（阴天）日数,累年年降水量,累年年最大日降水量,累年年最大日降水量出现年份,累年年最大日降水量出现月份,累年年最大日降水量出现日期,累年年日降水量≥0.1mm日数,累年年日降水量≥10.0mm日数,累年年日降水量≥25.0mm日数,累年年日降水量≥50.0mm日数,累年年降水量相对平均差,累年年降水量平均差,累年年降水量相对标准差,累年年降水量标准差,累年年降水量最大正距平百分率,累年年降水量最大负距平百分率,累年年冰雹日数,累年年大风日数,累年年沙尘暴日数,累年年雾日数,累年年雷暴日数,累年年霜日数,累年年降雪日数,累年年积雪日数,累年年能见度<1km出现频率,累年年能见度<10km出现频率,累年年蒸发量（小型蒸发）,累年年蒸发量（大型蒸发）,累年年最大积雪深度,累年年最大积雪深度出现年份,累年年最大积雪深度出现月份,累年年最大积雪深度出现日期,累年年平均风速,累年年最多风向（含静风）,累年年最多风向频率（含静风）,累年年最多风向（不含静风）,累年年最多风向频率（不含静风）,累年年平均地面温度,累年年极端最高地面温度,累年年极端最高地面温度出现年份,累年年极端最高地面温度出现月份,累年年极端最高地面温度出现日期,累年年极端最低地面温度,累年年极端最低地面温度出现年份,累年年极端最低地面温度出现月份,累年年极端最低地面温度出现日期,累年年平均5cm地温,累年年平均10cm地温,累年年平均15cm地温,累年年平均20cm地温,累年年平均40cm地温,累年年最大冻土深度,累年年最大冻土深度出现年份,累年年最大冻土深度出现月份,累年年最大冻土深度出现日期,累年年日照时数,累年年日照百分率
56182,3239,10334,7209,3,4,6,-12,63,182,148,7,356,2004,5,29,-207,1982,12,26,0,42758,5,6,10,-10,66,2,2,5,-4,63,2,2,66,53,381,1445,7084,396,1994,6,29,1672,1149,16,0,8,570,11,747,28,-21,54,19,0,0,445,1396,738,383,0,0,11755,999999,15,1991,11,22,13,17,42,10,10,91,684,2008,7,28,-236,2002,1,13,999999,999999,999999,999999,999999,49,1983,1,31,17889,41
56187,3045,10352,9517,4,5,8,-12,160,197,202,129,363,2006,8,11,-43,999002,1,999002,229,15459,4,5,9,-8,161,3,5,10,-11,82,3,3,999999,999999,999999,999999,8679,3566,1998,7,5,1442,885,79,25,16,1424,19,1671,37,-29,0,5,0,807,266,158,31,5,7,53,9904,999999,7,1994,1,18,12,17,34,999003,11,181,647,2001,7,7,-40,1992,1,1,999999,999999,999999,999999,999999,999999,999999,999999,999999,9903,22
56188,3100,10340,9348,3,4,7,-10,155,197,192,126,355,2002,7,14,-71,1991,12,28,201,16595,5,6,9,-10,151,3,4,9,-10,80,2,3,86,46,92,2686,11170,2338,1995,8,11,1822,1189,99,32,13,1440,17,1899,43,-33,0,11,0,87,276,220,77,21,0,50,9278,5465,15,1991,12,27,11,17,44,15,8,168,640,2009,6,22,-51,1991,12,28,166,166,166,167,999999,999999,999999,999999,999999,8441,19
56196,3127,10444,9544,3,4,8,-7,166,205,209,134,388,2001,7,7,-55,1982,12,27,618,14770,6,7,12,-10,155,4,5,10,-11,77,3,4,80,42,124,2194,8589,2595,2001,9,19,1238,778,85,27,20,1681,24,2070,48,-33,0,15,0,609,269,269,33,4,5,42,11080,8083,2,999002,1,999002,13,17,35,999004,7,188,685,2000,6,3,-76,1982,12,26,182,182,182,182,179,999999,999999,999999,999999,10716,24
56202,3040,9317,999999,999999,999999,999999,999999,-3,194,76,-64,224,1997,8,3,-325,999001,999002,999002,0,66806,5,7,11,-14,41,2,2,4,-4,61,2,3,62,48,482,1290,7375,474,1996,9,2,1759,1173,16,0,10,752,13,926,30,-21,159,367,0,1,536,2043,1525,1207,0,1,13830,999999,39,999002,999002,999002,20,17,40,13,11,30,664,1995,6,7,-422,1985,1,29,999999,999999,999999,999999,999999,999999,999999,999999,999999,25482,59
56223,3045,9550,999999,999999,999999,999999,999999,57,184,136,-7,306,2006,7,17,-221,1983,1,4,0,44704,5,6,14,-12,54,2,3,6,-6,54,3,4,56,37,634,999,4219,392,1997,9,3,1120,710,9,0,15,622,18,778,32,-38,11,334,0,0,198,818,594,217,0,0,20537,999999,18,1981,12,12,28,17,30,999007,23,97,768,2009,6,26,-244,1983,1,4,100,101,100,101,999999,87,1982,1,999004,25820,59
56227,2952,9546,999999,999999,999999,999999,999999,90,162,163,41,312,999002,7,999002,-145,1983,1,5,0,32897,4,5,12,-8,86,3,3,7,-6,71,2,3,72,64,394,1978,8910,1117,1998,10,20,1840,1220,41,2,13,1193,17,1483,29,-40,4,20,0,9,73,838,335,110,0,1,14334,999999,32,1981,12,12,15,17,47,15,14,126,723,999002,999002,999002,-193,1987,1,5,124,124,123,124,999999,18,1983,1,7,14434,33
56247,3000,9906,7421,4,5,10,-8,129,160,218,62,379,2006,7,17,-116,1982,12,27,8,20917,4,5,15,-10,74,4,4,10,-7,47,3,3,54,34,757,993,4970,423,1983,7,29,1026,712,14,0,18,899,24,1184,67,-41,23,208,0,0,686,896,43,3,999998,0,20861,11922,4,2006,12,13,12,17,47,11,8,148,758,2005,6,12,-170,1992,12,25,999999,999999,999999,999999,999999,999999,999999,999999,999999,23799,55
56251,3056,10019,999999,999999,999999,999999,999999,77,165,178,7,336,1989,6,20,-192,1982,12,26,0,37651,4,5,11,-9,63,3,4,7,-6,56,3,3,57,49,623,1055,6362,435,2005,8,21,1373,958,15,0,13,840,16,999,27,-37,52,613,0,0,625,1195,338,104,0,0,17269,999999,8,1985,3,16,18,17,33,999009,9,98,723,1983,7,9,-244,1982,1,18,999999,999999,999999,999999,999999,999999,999999,999999,999999,20066,46
56257,3000,10016,6297,3,4,8,-10,37,159,113,-21,259,2006,7,17,-306,1990,12,5,0,52333,6,7,15,-15,51,2,2,4,-5,57,2,2,51,38,873,932,7646,639,1989,6,27,1460,1018,31,0,13,1021,16,1247,35,-30,188,151,0,22,709,1796,837,392,0,0,14782,999999,20,1989,4,17,18,17,33,999007,7,67,717,1988,6,14,-366,1990,12,5,999999,999999,999999,999999,999999,999999,999999,999999,999999,26219,61
56287,2959,10300,9433,3,4,7,-11,164,188,204,138,379,2006,8,12,-36,1991,12,28,369,14209,4,5,9,-8,156,3,5,8,-9,78,2,3,87,32,85,2708,16637,2367,1996,8,20,2089,1450,160,65,12,1966,15,2468,38,-24,1,14,0,16,290,75,46,9,0,40,8652,5730,8,1991,12,28,13,17,37,11,11,183,689,2009,6,5,-88,1991,12,28,999999,999999,999999,999999,999999,999999,999999,999999,999999,9324,20
56312,2940,9420,7094,14,21,5,-42,91,152,164,42,314,2006,7,17,-137,1983,1,4,0,32525,5,5,12,-9,79,3,3,5,-6,63,2,2,75,72,326,2180,6926,429,1990,7,7,1643,1037,20,0,14,959,17,1179,42,-26,32,98,0,0,290,730,413,115,999998,0,17946,999999,13,1983,1,20,18,17,33,999007,8,133,797,2006,9,5,-201,1983,1,5,131,132,132,133,133,13,999003,1,999003,20222,47
56331,2940,9750,999999,999999,999999,999999,999999,47,181,128,-14,279,2006,7,17,-230,1983,1,5,0,48388,4,6,10,-10,51,3,4,7,-7,55,3,4,50,36,878,881,4560,452,2004,7,2,1015,658,15,0,16,732,20,923,50,-34,55,63,3,0,252,1356,583,175,0,0,16683,999999,17,999002,3,999002,14,17,55,999007,13,84,720,2010,7,2,-299,2001,12,22,90,90,90,89,999999,98,1987,3,999003,22414,51
56357,2903,10018,999999,999999,999999,999999,999999,48,169,133,-19,279,1983,7,999002,-276,1983,12,29,0,48128,5,6,14,-12,53,1,2,4,-4,55,1,2,52,43,943,1033,6543,500,2003,8,17,1206,852,27,0,15,964,20,1293,62,-33,126,267,0,6,709,2013,538,195,0,0,18184,999999,22,2007,11,16,21,17,28,12,11,87,753,2005,6,12,-285,1983,1,22,999999,999999,999999,999999,999999,45,1993,1,999002,25321,59
56374,3003,10158,7431,3,5,6,-15,73,176,127,37,301,2007,3,30,-138,2008,2,2,0,39006,4,5,8,-9,82,2,2,5,-3,74,2,2,74,68,305,2074,8583,601,2003,9,1,1773,1200,29,0,9,813,12,1029,17,-24,16,652,0,103,456,840,725,403,0,1,12692,999999,54,1985,3,21,28,17,25,999005,21,106,641,2001,8,7,-230,1998,2,7,999999,999999,999999,999999,999999,999999,999999,999999,999999,16367,37
56385,2931,10320,999999,999999,999999,999999,999999,34,172,78,7,239,2007,3,30,-197,1991,12,28,0,53265,5,6,11,-10,73,2,2,3,-5,85,1,2,79,71,256,2296,16702,3623,1984,7,2,2466,1559,155,56,15,2444,19,3182,45,-29,16,305,0,3063,303,639,843,689,52,52,9210,999999,32,2008,2,14,30,17,17,15,11,70,536,2007,6,27,-214,1982,12,26,999999,999999,999999,999999,999999,999999,999999,999999,999999,14033,32
56386,2934,10345,9652,3,3,6,-7,174,190,213,146,397,2006,8,11,-19,1991,12,999002,758,12354,4,5,10,-8,167,3,4,9,-6,80,2,2,84,27,120,2465,12315,3268,1996,7,28,1620,1076,115,45,13,1604,17,2082,40,-36,0,4,0,586,359,44,20,2,3,65,10974,7065,2,999002,1,999002,12,17,33,999001,9,191,645,2007,6,27,-35,1982,12,26,186,188,187,187,187,999999,999999,999999,999999,9838,22
56434,2839,9728,7691,4,5,10,-10,121,143,189,78,326,2001,7,5,-53,1983,1,5,0,22763,4,5,15,-8,99,3,4,7,-10,67,2,3,70,61,469,1882,7923,1007,2010,4,23,1704,1119,38,5,15,1162,20,1606,52,-47,1,0,0,0,94,620,129,49,0,2,16480,999999,17,2011,3,22,19,17,43,10,14,150,712,2009,6,22,-128,2000,1,31,147,147,147,146,999999,13,1991,1,7,14563,34
56444,2829,9855,6821,3,3,7,-7,63,150,128,23,273,2006,7,16,-147,2008,2,2,0,42538,4,5,8,-10,72,1,2,5,-3,70,1,2,60,55,708,1434,6967,645,2008,10,27,1519,959,32,3,15,1019,19,1356,35,-33,11,12,0,681,150,1109,623,305,3,5,13429,999999,36,999002,3,999002,16,13,28,13,28,112,663,2008,5,29,-164,2000,11,21,113,113,113,113,999999,999999,999999,999999,999999,18249,42
56459,2756,10116,7637,2,3,5,-7,140,116,209,86,334,2009,5,27,-48,1999,1,3,0,16391,4,6,9,-11,92,2,3,5,-6,55,2,2,50,41,1032,1077,8103,774,1997,8,15,1245,897,57,4,11,909,15,1198,41,-20,10,185,0,0,612,672,34,7,0,0,22938,13692,17,1990,12,1,19,17,32,999008,10,171,738,2005,5,29,-130,1997,1,19,169,171,171,170,999999,999999,999999,999999,999999,21657,50
56462,2900,10130,999999,999999,999999,999999,999999,91,137,175,33,317,1987,6,21,-156,1983,1,5,0,32347,4,5,10,-9,76,2,3,4,-5,62,1,1,62,52,596,1519,9226,554,1998,7,20,1636,1160,46,0,9,814,11,1038,19,-28,25,339,0,0,640,948,318,92,0,0,16519,999999,11,1992,2,15,26,17,20,14,17,131,729,2007,4,19,-161,1983,1,5,999999,999999,999999,999999,999999,999999,999999,999999,999999,19799,46
56475,2839,10231,8326,3,5,7,-13,132,171,196,91,348,1991,5,31,-152,2008,2,2,0,20339,3,4,7,-7,119,2,2,7,-4,74,1,2,75,71,274,2077,11153,1601,1990,6,29,1593,1148,96,12,10,1092,13,1409,33,-24,9,35,0,18,716,394,199,47,0,0,12803,8330,21,2008,2,1,12,17,43,999001,8,161,670,1984,5,10,-68,999002,999002,999002,999999,999999,999999,999999,999999,999999,999999,999999,999999,16009,36
56479,2800,10251,7937,3,4,8,-12,111,174,175,71,331,1991,6,1,-170,1982,12,27,0,26441,4,5,8,-8,106,2,2,7,-4,77,1,2,74,65,266,1930,10329,851,2006,7,7,1602,1084,94,10,9,973,12,1287,32,-23,18,80,0,157,549,364,311,147,1,16,14336,9049,26,2008,2,999002,19,17,32,999002,20,155,687,1992,8,10,-241,1982,12,27,151,151,152,150,999999,9,1984,1,999003,18851,43
56485,2816,10335,8754,3,4,7,-7,140,187,182,112,355,2006,9,1,-63,2008,2,2,19,19003,3,4,5,-10,135,4,4,10,-6,79,2,3,84,51,143,2559,8478,1253,2003,7,19,1718,952,73,15,10,879,13,1134,18,-25,9,8,0,105,357,128,159,47,0,31,999999,6456,13,2011,1,18,9,17,34,999005,10,175,672,2006,8,31,-57,1999,1,12,999999,999999,999999,999999,999999,999999,999999,999999,999999,10848,24
56492,2848,10436,9746,3,4,8,-10,180,190,218,154,400,2006,8,999002,-14,1991,12,28,1200,11301,4,5,11,-8,176,3,5,12,-12,81,2,3,82,57,175,2426,10176,2219,1991,6,14,1634,1086,86,29,14,1388,18,1859,44,-30,0,17,0,167,300,21,8,1,1,64,9167,6841,4,1991,12,28,8,17,52,999003,7,197,679,2006,8,5,-25,999002,1,999003,192,192,193,192,192,999999,999999,999999,999999,9385,20
56533,2745,9840,8404,5,6,11,-8,147,137,213,107,355,1986,6,11,-22,999002,999002,999002,0,15650,3,4,10,-9,137,3,4,10,-9,79,2,2,73,69,412,2067,17785,1002,1994,3,22,2186,1665,161,29,10,1842,14,2537,34,-26,0,9,0,112,243,401,32,18,0,1,11499,6487,30,2005,2,17,7,17,63,999008,8,168,672,1986,6,11,-69,1991,11,23,167,167,168,168,999999,999999,999999,999999,999999,12429,29
56543,2750,9942,6861,3,4,7,-8,63,162,136,8,260,999002,999002,999002,-274,1982,12,27,0,42618,5,6,12,-11,70,2,2,5,-5,68,2,2,62,57,677,1499,6511,533,2002,7,19,1401,916,26,0,12,788,16,1028,31,-26,24,98,0,59,320,1556,561,274,0,0,15199,999999,60,1994,1,31,21,17,31,10,11,96,645,1995,6,4,-245,2000,11,21,96,98,98,99,999999,25,1983,1,999005,21502,50
56548,2710,9917,7698,4,5,11,-8,118,146,188,70,319,1999,6,6,-89,1982,12,27,0,23568,4,5,12,-10,101,3,3,8,-6,69,2,3,64,53,651,1604,9715,934,1994,3,23,1532,1061,79,5,11,1078,15,1418,30,-25,5,134,0,78,393,1106,138,86,0,2,14426,9409,31,2005,3,7,16,17,40,15,10,144,669,1986,6,11,-139,1999,1,3,143,145,145,145,999999,999999,999999,999999,999999,20344,47
56565,2726,10131,999999,999999,999999,999999,999999,123,122,187,72,307,1983,7,6,-113,1982,12,27,0,21303,4,5,9,-9,89,2,3,6,-5,60,2,2,56,44,895,1296,8286,974,1981,6,20,1215,879,64,6,12,963,14,1150,34,-26,4,222,0,91,769,758,98,26,0,0,20676,12412,13,1983,12,29,23,17,19,11,12,156,692,2005,5,30,-149,1982,12,27,999999,999999,999999,999999,999999,999999,999999,999999,999999,25778,60
56571,2754,10216,8379,4,5,9,-16,172,127,236,126,366,1983,5,31,-35,2008,2,2,104,10082,4,5,9,-9,122,3,3,8,-5,61,2,2,59,52,761,1416,10251,1287,2000,6,25,1224,897,104,19,13,1311,17,1764,51,-29,5,100,0,1,617,367,35,11,0,2,19241,11779,13,1983,1,11,15,17,34,999001,10,204,715,1998,5,21,-77,1989,1,14,199,199,198,197,188,999999,999999,999999,999999,22660,52
56586,2721,10343,8046,4,5,8,-12,118,173,184,79,334,1987,5,23,-104,1982,12,26,0,24298,5,5,9,-7,108,2,2,5,-4,75,1,2,70,58,364,1765,6746,1885,1999,7,14,1343,862,45,5,13,908,16,1113,31,-31,9,58,0,195,438,460,288,99,1,11,16100,999999,19,1993,2,24,18,17,31,999002,19,160,693,1991,5,25,-150,1999,1,15,156,156,155,155,148,999999,999999,999999,999999,18372,42
56643,2552,9851,999999,999999,999999,999999,999999,202,113,264,158,390,2005,5,31,37,999002,12,999002,309,4029,4,5,12,-8,161,4,5,8,-10,66,2,3,999999,999999,999999,999999,9772,1188,1992,7,9,1518,1039,84,17,14,1367,17,1685,31,-36,0,36,0,140,364,6,0,0,0,1,20462,12590,0,999998,999998,999998,999999,17,42,999009,9,233,748,1986,6,1,-14,1985,1,16,223,221,224,224,999999,999999,999999,999999,999999,18562,43
56651,2651,10013,7637,3,4,9,-12,129,122,194,80,318,1986,6,8,-103,1983,12,30,0,19291,4,5,13,-10,98,2,3,5,-7,62,2,2,56,44,865,1297,9803,1128,1999,6,11,1343,972,81,15,13,1291,15,1508,31,-34,18,179,0,15,644,854,62,14,0,0,21517,14968,32,1983,12,28,32,13,16,13,16,165,731,2005,6,13,-143,1983,12,30,162,161,160,159,999999,999999,999999,999999,999999,24130,56
56664,2638,10116,999999,999999,999999,999999,999999,196,135,272,140,418,1983,6,1,-13,1984,1,1,641,6061,4,4,9,-8,142,4,5,10,-8,63,2,3,49,38,1100,1030,10878,1709,1983,9,13,1046,780,127,34,13,1410,17,1808,40,-28,3,133,0,29,849,332,1,1,0,1,24887,14409,16,1983,12,28,16,17,33,16,11,222,719,1988,5,21,-42,1997,1,999002,217,217,217,217,999999,999999,999999,999999,999999,24869,57
56666,2635,10143,8781,3,4,6,-8,209,131,277,155,404,999002,5,999002,4,1999,12,25,1408,4335,4,5,8,-9,141,5,5,9,-9,58,2,3,50,42,1028,990,8387,1214,1998,8,4,939,668,96,23,16,1313,19,1601,39,-29,1,54,0,43,556,110,0,0,0,1,22332,13219,0,999998,999998,999998,13,17,35,999007,12,236,761,2009,5,27,-40,1999,12,25,235,234,233,233,999999,999999,999999,999999,999999,26510,60
56671,2639,10215,8195,4,5,7,-13,152,138,221,100,340,1983,5,31,-57,1982,12,27,2,13973,3,4,11,-7,124,3,4,7,-8,70,2,3,58,44,806,1325,11625,1252,2004,9,6,1205,869,138,37,13,1500,15,1790,27,-33,9,32,0,29,626,821,29,5,0,0,17622,11630,16,1983,12,28,15,17,41,999009,9,186,723,2005,5,29,-81,1992,1,3,184,185,185,183,173,999999,999999,999999,999999,24124,55
56684,2625,10317,7891,3,4,7,-10,130,135,191,86,313,2005,5,28,-170,1999,1,12,0,19734,5,6,13,-8,108,2,3,9,-5,70,2,3,60,52,652,1342,7915,987,1998,6,18,1279,850,68,9,13,1034,16,1269,31,-35,4,182,0,63,449,509,136,66,0,1,19147,12310,38,1999,1,12,26,17,19,12,15,164,704,2009,6,8,-229,1999,1,12,159,159,157,157,999999,999999,999999,999999,999999,22326,51
56691,2652,10417,7774,3,4,8,-11,108,153,164,73,315,1991,6,1,-114,1999,1,12,0,26833,5,6,12,-9,105,2,2,4,-3,79,2,3,74,64,301,1956,8594,1059,1984,7,23,1778,986,66,11,16,1365,19,1668,39,-35,16,151,0,623,559,401,248,118,4,20,12927,9367,18,1999,1,999002,30,7,16,7,16,142,680,2003,5,15,-226,1999,1,12,138,139,138,137,133,999999,999999,999999,999999,16352,37
56693,2635,10452,8181,3,4,11,-10,126,166,172,94,329,1991,6,1,-126,1999,1,12,0,21886,5,5,8,-10,124,2,3,6,-9,81,2,3,999999,999999,999999,999999,11767,1386,2004,6,15,2035,1200,119,24,10,1149,12,1425,32,-21,25,45,0,335,568,210,210,104,2,50,11376,999999,23,1982,2,9,19,7,24,7,24,157,680,1995,6,29,-218,1999,1,12,151,152,154,154,999999,999999,999999,999999,999999,13678,31
56739,2501,9830,8342,3,4,9,-7,154,116,216,110,310,999002,999002,999002,-38,1985,1,16,0,11987,4,5,8,-8,138,3,3,5,-8,77,2,2,59,51,800,1426,15324,947,1992,10,14,1753,1337,158,23,13,1934,14,2182,22,-23,23,0,0,142,539,726,0,0,0,1,16119,11133,0,999998,999998,999998,17,10,18,10,18,177,637,2005,6,9,-75,1985,1,999003,178,180,180,180,185,999999,999999,999999,999999,20931,49
56748,2507,9911,8342,3,4,8,-9,162,124,226,114,324,2005,5,30,-38,1985,1,16,0,10868,5,6,12,-10,138,3,4,9,-6,73,2,3,55,42,814,1184,9922,1179,2010,7,26,1400,990,96,14,13,1255,16,1624,38,-33,19,25,0,65,519,757,0,0,0,1,15588,10870,2,1986,3,3,14,17,47,11,8,182,640,1994,5,27,-59,1988,1,29,180,181,181,181,999999,999999,999999,999999,999999,24421,56
56751,2542,10011,8012,3,4,9,-9,151,119,212,104,311,2005,5,30,-42,1983,12,30,0,13262,4,5,10,-10,121,3,3,11,-6,68,2,3,51,43,972,994,10549,1138,2003,7,22,1339,919,122,23,14,1463,17,1829,29,-34,2,646,0,0,532,705,25,5,0,0,18353,11954,22,1983,12,29,25,17,16,14,10,168,645,1991,5,30,-105,1983,12,30,167,169,168,168,999999,999999,999999,999999,999999,22281,51
56763,2544,10152,8856,4,5,9,-10,214,124,286,157,403,2009,5,27,-13,1999,12,999002,1455,3458,4,5,9,-9,147,5,6,9,-9,58,3,3,52,40,953,1043,6575,1008,1998,6,21,933,632,62,13,13,878,17,1117,39,-28,0,60,0,7,611,35,0,1,0,0,28994,17524,8,1983,12,28,19,17,33,999008,16,253,759,2005,6,1,-24,1999,12,27,249,248,247,246,999999,999999,999999,999999,999999,25628,59
56768,2502,10133,8172,22,32,58,-8,164,122,225,115,336,2005,5,28,-48,1982,12,28,0,10641,4,5,10,-9,128,3,3,6,-7,68,2,2,56,47,733,1162,8905,1740,2003,6,17,1160,820,98,14,20,1751,23,2052,51,-36,13,113,0,176,547,588,12,3,1,1,19306,12623,22,1983,12,28,16,17,33,11,14,194,685,2010,5,23,-74,1985,1,15,190,190,190,190,999999,999999,999999,999999,999999,20316,47
56778,2500,10239,8111,4,5,9,-11,155,114,212,111,313,2009,5,27,-78,1983,12,29,0,12258,6,7,12,-11,126,2,3,5,-7,71,2,3,59,49,717,1314,9793,1654,1986,6,7,1251,900,91,21,18,1764,23,2223,48,-42,11,64,0,22,589,555,30,10,0,11,18253,11929,36,1983,12,28,21,17,25,11,15,177,704,2005,5,29,-99,999002,12,999002,170,174,173,172,169,999999,999999,999999,999999,21201,49
56786,2535,10350,8101,3,4,8,-10,146,122,209,102,332,999002,5,999002,-87,999002,12,999002,0,14827,4,5,12,-7,120,3,4,7,-12,71,2,2,63,53,605,1438,9471,1769,2009,6,26,1324,902,89,17,13,1225,16,1545,31,-35,27,162,0,76,632,333,84,30,0,21,21572,12648,26,1983,12,28,28,9,19,9,19,174,681,1990,8,17,-83,1999,1,12,170,170,170,170,999999,999999,999999,999999,999999,19760,45
56792,2547,10458,8348,4,5,9,-11,139,160,184,109,351,1994,5,1,-58,999002,999002,999002,0,18342,5,5,9,-10,133,2,3,6,-10,81,2,3,999999,999999,999999,999999,13538,1415,1993,9,17,1966,1271,138,34,14,1835,16,2226,36,-38,22,163,0,864,666,90,84,53,9,23,14272,999999,28,1982,2,10,999999,3,18,3,18,163,659,2010,5,24,-89,1999,12,26,158,158,161,161,999999,999999,999999,999999,999999,14510,33
56793,2543,10428,8476,4,4,9,-9,153,150,207,117,351,1994,5,1,-51,1982,12,27,8,14808,4,5,9,-7,138,2,3,4,-6,77,1,2,74,61,333,2005,13834,1402,1990,6,22,1869,1186,146,35,11,1541,14,1983,23,-34,21,137,0,54,717,136,83,28,0,15,15677,9782,22,1982,2,10,16,17,39,999003,14,176,675,1994,5,2,-94,1999,12,27,173,173,173,173,999999,999999,999999,999999,999999,16190,36
56838,2400,9751,9252,4,5,10,-8,207,112,275,163,364,2010,5,16,15,1983,1,6,73,3393,5,5,10,-9,189,4,5,9,-12,77,2,3,59,46,461,1226,14502,1324,2004,7,5,1574,1191,152,28,11,1649,14,2081,36,-31,2,11,0,774,738,8,0,0,4,5,16953,11579,0,999998,999998,999998,9,17,40,11,8,245,689,1989,5,27,-12,1990,1,2,241,242,242,241,999999,999999,999999,999999,999999,22973,53
56856,2428,10052,8828,4,5,6,-13,188,122,264,141,380,2005,5,29,-14,1999,12,26,22,6331,3,3,7,-5,165,4,5,7,-9,76,2,2,64,58,398,1489,11545,1340,2005,6,8,1541,1062,110,24,13,1547,17,1963,38,-32,4,5,0,410,832,192,1,1,2,3,14342,10924,3,1983,12,28,6,17,60,999008,8,218,694,1986,6,10,-53,1999,12,26,215,216,216,216,999999,999999,999999,999999,999999,20315,46
56872,2457,10237,7666,4,5,8,-9,126,101,186,90,337,1989,7,8,-86,1986,3,2,0,20066,3,4,8,-9,112,2,2,5,-6,76,1,2,999999,999999,999999,999999,11354,1174,1998,8,28,1415,1005,110,26,15,1694,20,2220,40,-40,23,547,0,1568,606,278,47,22,16,26,14779,999999,49,1983,12,29,55,11,24,11,24,152,682,2010,5,23,-97,999002,12,999002,149,149,151,151,999999,999999,999999,999999,999999,18420,43
56875,2420,10233,8276,3,4,6,-10,163,118,229,116,326,1994,5,26,-55,1982,12,27,0,10721,6,7,15,-11,136,2,3,5,-7,73,3,3,59,49,672,1280,9091,980,1995,11,13,1265,889,87,16,11,1020,16,1494,56,-31,16,118,0,258,607,514,12,3,1,9,16229,10707,29,1983,12,29,17,17,37,11,16,186,693,2010,5,23,-57,1983,12,29,182,183,182,182,999999,999999,999999,999999,999999,20182,46
56886,2432,10346,8286,4,7,10,-27,152,128,217,107,341,1994,5,2,-113,1983,12,29,0,13574,4,4,11,-7,134,2,3,5,-8,76,1,2,64,53,535,1424,8785,1218,1997,7,7,1341,912,73,10,13,1108,16,1386,34,-33,18,187,0,347,672,330,32,9,2,14,18705,11051,20,1995,1,4,26,17,23,10,16,181,638,2005,5,19,-132,1983,12,29,176,177,177,177,999999,999999,999999,999999,999999,20397,47
56946,2333,9924,8894,5,7,16,-14,194,114,268,142,365,2005,6,4,-20,1999,12,26,28,5284,5,5,10,-9,170,4,4,6,-9,75,2,3,59,53,541,1237,13155,1521,2006,10,7,1651,1230,120,21,12,1562,15,1981,34,-30,6,30,0,795,766,103,0,0,5,6,16745,10539,0,999998,999998,999998,8,17,42,13,7,231,704,2005,6,4,-26,1999,12,26,225,226,227,226,999999,999999,999999,999999,999999,22174,51
56950,2328,9948,8956,4,5,8,-9,199,113,276,146,370,2005,6,7,-8,1999,12,999002,52,4283,3,3,6,-6,171,3,4,8,-9,74,1,2,999999,999999,999999,999999,9953,1038,1990,5,16,1496,1068,77,13,11,1104,15,1468,33,-25,5,55,0,530,719,118,0,0,4,5,21173,999999,0,999998,999998,999998,999999,17,49,11,13,232,676,1986,5,22,-42,1999,12,26,223,225,229,228,999999,999999,999999,999999,999999,22917,53
56951,2353,10005,8487,9,14,15,-39,178,102,244,133,344,2005,6,4,-10,1999,12,25,0,6730,4,4,8,-7,145,3,4,6,-10,70,2,3,59,51,760,1374,11489,966,2010,7,14,1590,1188,103,14,11,1253,13,1544,19,-36,6,43,0,11,726,321,0,0,0,0,18531,11330,0,999998,999998,999998,11,17,47,999002,5,203,692,1987,5,29,-60,1999,12,26,201,202,201,201,999999,999999,999999,999999,999999,21277,50
56954,2234,9956,8952,4,5,9,-10,197,100,275,148,368,999002,5,999002,-14,1999,12,27,7,3869,3,3,8,-5,174,3,4,8,-7,77,1,2,63,50,415,1441,15865,1401,2006,10,8,1641,1282,160,33,9,1420,12,1836,29,-25,10,35,0,745,994,78,0,0,4,38,15210,10930,0,999998,999998,999998,9,17,53,999007,5,233,692,1984,5,25,-28,1999,12,27,228,227,228,227,999999,999999,999999,999999,999999,21773,50
